Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID,Vehicle Type,Latitude,Longitude
RESERVED,CHEVROLET,EXPRESS,2014,BLACK,Bio-Diesel,N,CHICAGO PRIVATE TOURS LLC,CHICAGO,IL,60653,none,none,12009Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,MERCEDES,SPRINTER,2010,SILVER,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640,none,none,12248Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,VAN HOOL,TD925,2008,RED,Bio-Diesel,N,"TRT TRANSPORTATION, INC.",CHICAGO,IL,60609,none,none,13527Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,VAN HOOL,TD925,2008,RED,Bio-Diesel,N,"TRT TRANSPORTATION, INC.",CHICAGO,IL,60609,none,none,13528Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,MERCEDES,SPRINTER,2015,BLACK,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640,none,none,12025Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,VAN HOOL,TD925,2008,RED,Bio-Diesel,N,"TRT TRANSPORTATION, INC.",CHICAGO,IL,60609,none,none,13513Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,MERCEDES,SPRINTER,2012,WHITE,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640,none,none,13830Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
INACTIVE,MERCEDES,SPRINTER,2016,SILVER,Bio-Diesel,N,O'HARE-MIDWAY LIMOUSINE SERVICE INC # 2,CHICAGO,IL,60640,none,none,12026Charter Sightseeing,Charter Sightseeing,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,N,MEDALLION FUNDING CHICAGO CORP V,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,256Taxi,Taxi,41.8781,-87.6298
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,N,AMBROSLY INC,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,1616Taxi,Taxi,41.8781,-87.6298
