Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,ZIP Code,Taxi Affiliation,Taxi Medallion License Management ,Record ID,Vehicle Type
ACTIVE,LINCOLN,MKT,2015,BLACK,Gasoline,N,"MASON'S ELITE LIMOS, INC.",CHICAGO,IL,60620,none,none,9137Livery,Livery
ACTIVE,LINCOLN,AVIATOR,2024,BLACK,Gasoline,N,NORTHWESTERN DISTRIBUTION INC.,CHICAGO,IL,60630,none,none,71222Livery,Livery
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,Y,"LUCKY SEVEN CHICAGO, INC.",CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,6409Taxi,Taxi
VIOLATION,VPG,MV-1,2012,WHITE,Compressed Natural Gas,N,SNOWSTORM II HACKING CORP.,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,1413Taxi,Taxi
INACTIVE,LINCOLN,CONTINENTAL,2020,BLACK,Gasoline,N,BAKALI CORPORATION,CHICAGO,IL,60629,none,none,9763Livery,Livery
INACTIVE,FREIGHTLINER,M LINE SHUTTLE BUS,2005,RED/BLUE/WHITE,Gasoline,N,CHICAGO SIGHT SEEING CO,CHICAGO,IL,60603,none,none,100007Charter Sightseeing,Charter Sightseeing
VIOLATION,HYUNDAI,ELANTRA,2018,WHITE,Gasoline,N,HYDRA CAB CORP,CHICAGO,IL,60618,Top Cab Association,Top Cab Corp.,5798Taxi,Taxi
INACTIVE,FORD,E250,2003,,Gasoline,N,"MIDWEST MEDICAL SERVICE, INC.",CHICAGO,IL,60630,none,none,6902206Charter Sightseeing,Charter Sightseeing
INACTIVE,FORD,ECONOLINE,2007,BLACK,Gasoline,N,TOWN & COUNTRY SYSTEMS CORP,CHICAGO,IL,60614,none,none,9696Charter Sightseeing,Charter Sightseeing
VIOLATION,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,SUMAR INC,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,4716Taxi,Taxi
RESERVED,LEXUS,GS350,2018,BLACK,Gasoline,N,VIP LIMO SERVICES INC,CHICAGO,IL,60629,none,none,70022Livery,Livery
VIOLATION,TOYOTA,PRIUS,2014,WHITE,Hybrid,N,2ND AVENUE TAXI CORP.,CHICAGO,IL,60656,DIS-AFFILIATED,Owner Manager,1678Taxi,Taxi
INACTIVE,MERCEDES,SPRINTER,2017,BLACK,Gasoline,N,Hyde Enterprise LLC,CHICAGO,IL,60653,none,none,19171Charter Sightseeing,Charter Sightseeing
INACTIVE,,,0,WHITE,Gasoline,N,CITY OF CHICAGO BACP,CHICAGO,IL,60608,none,none,6838Taxi,Taxi
VIOLATION,FORD,ESCAPE,2011,GREEN,Hybrid,N,NECT 20 LLC,CHICAGO,IL,60645,TAXI TOWN AFFILIATION LLC,"Medallion Leasing and Management, Inc.",1140Taxi,Taxi
INACTIVE,FREIGHLINE,NEWPORT,2016,WHITE,Gasoline,N,CHICAGO MOTOR COACH  INC.,NORTHBROOK,IL,60062,none,none,16992Charter Sightseeing,Charter Sightseeing
ACTIVE,LINCOLN,AVIATOR,2023,BLACK,Gasoline,N,"DV & G ENTERPRISES, INC.",CHICAGO,IL,60634,none,none,8167Livery,Livery
ACTIVE,CHEVROLET,SUBURBAN,2019,BLACK,Gasoline,N,ULAN KACHKEEV,CHICAGO,IL,60630,none,none,9201Livery,Livery
VIOLATION,TOYOTA,CAMRY,2016,WHITE,Hybrid,N,"SARDAR TRANS, INC.",CHICAGO,IL,60659,DIS-AFFILIATED,Owner Manager,372Taxi,Taxi
VIOLATION,CHEVROLET,SUBURBAN,2019,BLACK,Gasoline,N,AYMAN A. ALTANBOUR,CHICAGO,IL,60629,none,none,7642Livery,Livery
ACTIVE,TOYOTA,SIENNA,2019,WHITE,Gasoline,Y,PHARAOH TAXI INC.,CHICAGO,IL,60656,Flash Cab Co,Owner-Operator,1374Taxi,Taxi
INACTIVE,FORD,E450,2011,WHITE,Gasoline,N,"ARIES CHARTER TRANSPORTATION, INC.",CHICAGO,IL,60624,none,none,11466Charter Sightseeing,Charter Sightseeing
ACTIVE,LINCOLN,AVIATOR,2023,BLACK,Gasoline,N,MOSNAD INC,CHICAGO,IL,60640,none,none,9531Livery,Livery
VIOLATION,FORD,EXPEDITION,2020,BLACK,Gasoline,N,CEASAR A CACERES,CHICAGO,IL,60607,none,none,7592Livery,Livery
VIOLATION,TOYOTA,PRIUS,2013,WHITE,Hybrid,N,CHICAGO SEVEN CAB INC,CHICAGO,IL,60616,EXPIRED AFFILIATION,Owner Manager,6260Taxi,Taxi
VIOLATION,HYUNDAI,SONATA,2013,WHITE,Gasoline,N,TIBET INC.,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,3572Taxi,Taxi
VIOLATION,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,WARREN-ANN TAXICAB CO,CHICAGO,IL,60641,DIS-AFFILIATED,Owner Manager,4237Taxi,Taxi
ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO MEDALLION SIX LLC.,CHICAGO,IL,60656,Flash Cab Co,Chicago Taxicab Management Inc.,1095Taxi,Taxi
VIOLATION,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,BORIS TAXI LLC,CHICAGO,IL,60630,DIS-AFFILIATED,Owner Manager,3808Taxi,Taxi
INACTIVE,FORD,E350,2008,WHITE,Gasoline,N,DALEY'S MEDICAL TRANSPORTATION INC,DOLTON,IL,60419,none,none,797101Ambulance,Ambulance
ACTIVE,FORD,EXPEDITION PLATINUM,2024,BLACK,Gasoline,N,FIVE STAR TRANSIT COMPANY,CHICAGO,IL,60659,none,none,70435Livery,Livery
